# Video data for Binging with Babish (UCJHA_jMfCvEnv-3kRjTCQXw)
# id;publishedAt;title
nbCgfiqq-5c;2018-06-14T17:00:31.000Z;Burgers | Basics with Babish
uwV9cq9DRTY;2018-06-12T13:00:05.000Z;Binging with Babish: Pasta Puttanesca from Lemony Snicket's A Series of Unfortunate Events
qeltSXT91ro;2018-06-08T20:43:13.000Z;Risotto Livestream | Basics with Babish
44fjX-rgJ7s;2018-06-05T13:00:01.000Z;Binging with Babish: Cannoli from The Godfather
4o_7xoucHnY;2018-06-01T21:50:13.000Z;Fish Livestream | Basics with Babish
E_8wQsmjn0A;2018-05-31T15:00:57.000Z;Risotto | Basics with Babish
2U_0OlCizx0;2018-05-29T13:00:00.000Z;Binging with Babish: Arrested Development Special (feat. Sean Evans)
Y8hi6A5MPVY;2018-05-22T13:00:02.000Z;Binging with Babish: Bubble Bass' Order from Spongebob Squarepants
KObL442PWhQ;2018-05-17T16:47:42.000Z;Fish | Basics with Babish
atLL2Yzi3bg;2018-05-15T13:00:01.000Z;Binging with Babish: Cheesy Blasters from 30 Rock
yFZwFs--XbQ;2018-05-11T16:57:01.000Z;Grilling Livestream | Basics with Babish
NgloGi5xEa8;2018-05-08T13:00:02.000Z;Binging with Babish: Pies from Waitress
u0feM_2mLvo;2018-05-03T17:17:50.000Z;Grilling | Basics with Babish
ROAmMJeTO6Y;2018-05-02T18:29:35.000Z;Eggs Benedict Livestream | Basics with Babish
KKoOIyhJwA4;2018-05-01T13:00:03.000Z;Binging with Babish: The Sloppy Jessica from Brooklyn Nine-Nine
baG767jr8c8;2018-04-24T13:00:05.000Z;Binging with Babish | Chicken Paprikash from Captain America: Civil War
eA6uLMsl9w0;2018-04-17T13:00:09.000Z;Binging with Babish: Chateaubriand Steak from The Matrix
CFatEWNx5RQ;2018-04-12T13:00:05.000Z;Eggs Part II | Basics with Babish
hwjdXBxeWsc;2018-04-11T19:05:14.000Z;Binging with Babish: National Grilled Cheese Day + VidCon Announcement
iErqWGwso7o;2018-04-10T13:00:09.000Z;Binging with Babish: Shawarma from The Avengers
dn_aaxZIA2o;2018-04-03T13:00:08.000Z;Binging with Babish: Crème Brûlée from Amelie
ylxzfecackM;2018-03-29T17:29:23.000Z;Chocolate Chip Cookies | Basics with Babish
