# Video data for LastWeekTonight (UC3XTzVzaHQEd30rQbuvCtTQ)
# id;publishedAt;title
mOVPStnVgvU;2018-06-11T06:30:00.000Z;Stupid Watergate II: Last Week Tonight with John Oliver (HBO)
nG2pEffLEJo;2018-06-04T06:30:00.000Z;Guardianship: Last Week Tonight with John Oliver (HBO)
hWQiXv0sn9Y;2018-05-21T06:30:00.000Z;Rehab: Last Week Tonight with John Oliver (HBO)
IYfgvS0FA7U;2018-05-14T06:30:01.000Z;Venezuela: Last Week Tonight with John Oliver (HBO)
mXQuto1fMp4;2018-05-07T06:30:00.000Z;Rudy Giuliani: Last Week Tonight with John Oliver (HBO)
5xnZ_CeTqyM;2018-04-23T06:30:02.000Z;Iran Deal: Last Week Tonight with John Oliver (HBO)
RKjk0ECXjiQ;2018-04-16T06:30:00.000Z;Corporate Taxes: Last Week Tonight with John Oliver (HBO)
4NNpkv3Us1I;2018-04-09T06:30:00.000Z;Crisis Pregnancy Centers: Last Week Tonight with John Oliver (HBO)
9fB0GBwJ2QA;2018-04-02T06:30:00.000Z;Immigration Courts: Last Week Tonight with John Oliver (HBO)
rs2RlZQVXBU;2018-03-19T06:30:00.000Z;Mike Pence: Last Week Tonight with John Oliver (HBO)
g6iDZspbRMg;2018-03-12T06:30:00.000Z;Cryptocurrencies: Last Week Tonight with John Oliver (HBO)
LEcbagW4O-s;2018-03-05T07:30:01.000Z;NRA TV: Last Week Tonight with John Oliver (HBO)
LdhQzXHYLZ4;2018-02-26T07:30:00.000Z;Italian Election: Last Week Tonight with John Oliver (HBO)
QCjk_NPsIqU;2018-02-19T07:30:01.000Z;Trump vs. The World: Last Week Tonight with John Oliver (HBO)
wrpeEitIEpA;2018-01-22T17:05:24.000Z;Last Week Tonight: Season 5 Official Trailer (HBO)
1ZAPwfrtAFY;2017-11-13T07:30:00.000Z;The Trump Presidency: Last Week Tonight with John Oliver (HBO)
seGgZp-XYdM;2017-11-13T21:36:24.000Z;Wax Presidents Trailer: Last Week Tonight with John Oliver (HBO)
8bl19RoR7lc;2017-11-06T07:30:00.000Z;Economic Development: Last Week Tonight with John Oliver (HBO)
pf1t7cs9dkc;2017-10-30T06:30:01.000Z;Floods: Last Week Tonight with John Oliver (HBO)
mPjgRKW_Jmk;2017-10-16T06:30:00.000Z;Equifax: Last Week Tonight with John Oliver (HBO)
J5b_-TZwQ0I;2017-10-09T06:30:01.000Z;Confederacy: Last Week Tonight with John Oliver (HBO)
_ECYMvjU52E;2017-10-04T18:33:29.000Z;NRA: Last Week Tonight with John Oliver (HBO)
ScmJvmzDcG0;2017-10-02T06:30:00.000Z;Forensic Science: Last Week Tonight with John Oliver (HBO)
00wQYmvfhn4;2017-09-25T06:30:00.000Z;Corporate Consolidation: Last Week Tonight with John Oliver (HBO)
1ZNZY-gd3K0;2017-09-11T07:30:00.000Z;Joe Arpaio: Last Week Tonight with John Oliver (HBO)
ZwY2E0hjGuU;2017-08-21T06:30:00.000Z;Nuclear Waste: Last Week Tonight with John Oliver (HBO)
TrS0uNBuG9c;2017-08-14T06:30:01.000Z;North Korea: Last Week Tonight with John Oliver (HBO)
NnW5EjwtE2U;2017-08-07T06:30:01.000Z;Border Patrol: Last Week Tonight with John Oliver (HBO)
WyGq6cjcc3Q;2017-07-31T06:30:01.000Z;Alex Jones: Last Week Tonight with John Oliver (HBO)
5cBV8KFFasY;2017-07-03T06:30:00.000Z;Harding: Last Week Tonight with John Oliver (HBO)
GvtNyOzGogc;2017-07-03T06:30:00.000Z;Sinclair Broadcast Group: Last Week Tonight with John Oliver (HBO)
7VG_s2PCH_c;2017-06-26T06:30:01.000Z;Vaccines: Last Week Tonight with John Oliver (HBO)
