# Video data for Marques Brownlee (UCBJycsmduvYEL83R_U4JriQ)
# id;publishedAt;title
0NX9RjQClvg;2018-06-15T19:51:59.000Z;Vivo NEX S Impressions: Truly Bezelless?
9gkxwIZPOZk;2018-06-12T20:33:06.000Z;HTC U12+ Review: A Phone With No Buttons!
RROs-zCrSko;2018-06-07T17:26:15.000Z;Top 5 iOS 12 Features!
nt9J_PynaOM;2018-06-05T12:38:48.000Z;Top 5 WWDC 2018 Announcements!
HxVLdhm2B6Y;2018-06-02T00:03:19.000Z;Driving Lamborghini Aventador S! [Auto Focus Ep. 2]
0PrUr3bQdwM;2018-05-25T18:56:39.000Z;OnePlus 6 Review: Right On the Money!
oD_3wMh5kLg;2018-05-21T21:28:49.000Z;Top 5 Smartphone Cameras: The Blind Test! [2018]
F0rYqvRk9r8;2018-05-16T16:52:35.000Z;OnePlus 6 Impressions!
bSl9PfRX7WY;2018-05-15T01:04:27.000Z;In-Glass Fingerprint Sensor: Testing the limits!
XU69_u7eXa0;2018-05-11T22:55:29.000Z;Google Pixel 2 Revisited: Android P Beta!
USXoINPEhoA;2018-05-10T01:06:34.000Z;Let's Talk About Google Duplex!
SGiOZnUQlEU;2018-05-07T15:12:53.000Z;The Dream Camera? Ask MKBHD V28 with Peter McKinnon!
hvFbmImsCc4;2018-05-02T14:00:04.000Z;LG G7 ThinQ Impressions!
OJfOsoUYPts;2018-04-28T01:09:47.000Z;iPhone X Revisited: Still Worth $1000?!
TQG7m1BFeRc;2018-04-23T21:32:33.000Z;Huawei P20 Pro Review: The Triple Camera Smartphone!
Er-hGFBcosc;2018-04-18T01:29:24.000Z;$750 Mini Boosted Board Impressions!
TKGA7MhxPWc;2018-04-16T17:20:26.000Z;Thank You!
MtUxFCicxuM;2018-04-14T00:23:17.000Z;Pixel 3 Rumors? Ask MKBHD V27!
4O9dNuiOWDg;2018-04-11T01:59:47.000Z;Product RED iPhone 8 Unboxing!
UIwdCN4dV6w;2018-04-03T23:20:08.000Z;Dope Tech: Camera Robots!
rsJlT53jU_4;2018-04-01T13:57:08.000Z;Bixby Speaker Impressions!
Xyt9rmsxwDU;2018-03-29T21:11:23.000Z;I've Made 1000 Videos?! Ask MKBHD V26!
Gzy_nCkn88U;2018-03-20T03:31:02.000Z;Samsung Galaxy S9 Review: The Perfect... Samsung!
6AlzUeJ9zn0;2018-03-16T18:24:24.000Z;Top 5 Android P Features!
xIvaQ1Hv2Ug;2018-03-14T00:00:32.000Z;The State of Bezels! (2018)
pqQrL1K0Z5g;2018-03-09T23:52:38.000Z;Talking Tech with Neil deGrasse Tyson!
KB4_WIPE7vo;2018-03-07T23:19:57.000Z;The 🍎 Ecosystem: Explained!
jn9mHzXJIV0;2018-03-02T21:37:44.000Z;18-core iMac Pro Review: Not a Trap!
ZzefeQ0v5wg;2018-02-28T22:27:59.000Z;Samsung Galaxy S9 Camera: What's New!
J83sZrz9XTc;2018-02-25T17:00:39.000Z;Samsung Galaxy S9 Impressions!
DC-QGkKrxdM;2018-02-22T22:21:57.000Z;Creator of the Decade? Tech Backpack? Ask MKBHD V25!
dRtqFjYYUY0;2018-02-21T03:37:01.000Z;The In-Glass Fingerprint Reader: Explained!
mpjREfvZiDs;2018-02-16T22:26:25.000Z;Apple HomePod Review: The Dumbest Smart Speaker?
jmvacbha8e8;2018-02-13T17:00:38.000Z;MKBHD Merch Review 2018!
C-DfipidnOE;2018-02-08T23:42:48.000Z;Dear Snapchat!
