# Video data for Tom Scott (UCBa659QWEk1AI4Tg--mrJ2A)
# id;publishedAt;title
q1oRaUTbk3k;2018-06-11T15:00:04.000Z;Tilting an Icy Floor Until You Fall Over: WinterLab
F5e4t07E_Dg;2018-06-14T15:00:01.000Z;Lateral Game 4: The Fast Route to the Final
rQ6bUrkR4YE;2018-06-07T15:00:10.000Z;Lateral Game 3: the First Elimination Match
DWYthXD14pw;2018-06-04T15:00:03.000Z;The Town That Was Burned for Science: Aultsville
EocJm3Dry4E;2018-05-28T15:00:01.000Z;The US-Canada Border Splits This Road Down The Middle
AQ73ROd0JBA;2018-05-31T15:00:01.000Z;Lateral: Game 2 with Geoff Marshall, Vicki Pipe, LDShadowLady and Smallishbeans
_xS-BIcu4ew;2018-05-24T15:00:03.000Z;Lateral: Game 1 with Kat Arney, Helen Arney, Simon Clark, and Sally Le Page
CB3LJdMYzrQ;2018-05-21T15:00:00.000Z;A Town Called Asbestos
vBgulDeV2RU;2018-05-14T15:00:12.000Z;Keeping Aircraft Safe without Radar: The North Atlantic Tracks
jC4NNUYIIdM;2018-05-04T22:13:47.000Z;⚫ How The Black Point Message Crashes Android Apps
YKAblynZYhI;2018-04-30T15:03:13.000Z;2½ Hours of Unedited Garlic Bread Flight Footage
c8W-auqg024;2018-04-23T15:04:11.000Z;We Sent Garlic Bread to the Edge of Space, Then Ate It
DMKcO-T5Y4o;2018-04-16T15:00:02.000Z;G-Force, Jerk, and Passing Out In A Centrifuge
nAsrsMPftOI;2018-04-09T15:00:08.000Z;Making an International Standard Cup of Tea
C2NNujJKJL4;2018-04-02T15:00:01.000Z;The US President's Bulletproof Railcar
ZrP0Mqj9U_c;2018-03-26T15:00:02.000Z;The 1940s Mermaid Show That's Still Pulling Crowds
RYGFczNMAMk;2018-03-14T16:00:02.000Z;How Formation Flying Works (feat. the Red Arrows!)
bij-JjzCa7o;2018-03-12T16:00:02.000Z;Why European Clocks are Running Slow, and British Clocks Aren't
d99_h30swtM;2018-03-05T16:00:05.000Z;The Moiré Effect Lights That Guide Ships Home
dabnx8VSdkE;2018-02-26T16:00:03.000Z;Launching An Entire Fireworks Display At Once
vxfJbW6KDp4;2018-02-12T16:00:04.000Z;Making Artificial Earthquakes with a Four-Tonne Steel Ball
DSG-zxGRkJw;2018-02-19T16:00:04.000Z;The European City Centre With No Street Names
OCLaeBAkFAY;2018-02-05T16:00:03.000Z;Faceswapping, Unethical Videos, and Future Shock
Ii_Gz1WbBGA;2018-01-29T16:00:03.000Z;Controlling An Airport From 80 Miles Away
oyC4lLTOyL8;2018-01-15T16:00:06.000Z;A Language Made Of Music
gTF8KYoJkMM;2018-01-22T16:00:05.000Z;Canada's Most Successful King
viRVFxvXSss;2018-01-08T16:00:08.000Z;Sign Language Isn't Universal
BP9HNVuGb-g;2018-01-01T16:00:02.000Z;17 Tonnes of Spinning Glass: Making the World's Largest Telescope
Q-v4LsbFc5c;2017-12-26T16:00:02.000Z;This Video Is 2D And 3D Simultaneously: the Pulfrich Effect
6gNn9OG7dPU;2017-12-28T16:00:01.000Z;Atomic Annie and Blue Peacock: Citation Needed 7x06
C666j39s3wc;2017-12-21T16:00:01.000Z;John Stonehouse and Dropped Trousers: Citation Needed 7x05
KOJnOCdBr4s;2017-12-18T16:00:01.000Z;The Null Hypothesis
FO_Ox_dH0M8;2017-12-11T16:00:01.000Z;How Zero-G Planes Work
YF6xzqOfCD8;2017-12-04T16:00:02.000Z;Batman's Village of Fools: Gotham, England
